Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
Mexico,MEX,GDP (current US$),1973,55280000000.0,"Life expectancy at birth, total (years)",62.055
Peru,PER,GDP (current US$),1973,,"Life expectancy at birth, total (years)",57.085
United States,USA,GDP (current US$),1973,1425376000000.0,"Life expectancy at birth, total (years)",71.3560975609756
Chile,CHL,GDP (current US$),1974,16209693232.0782,"Life expectancy at birth, total (years)",64.901
China,CHN,GDP (current US$),1974,144188970821.072,"Life expectancy at birth, total (years)",60.168
United Kingdom,GBR,GDP (current US$),1974,206131369798.971,"Life expectancy at birth, total (years)",72.5243902439024
Mexico,MEX,GDP (current US$),1974,72000000000.0,"Life expectancy at birth, total (years)",62.459
Peru,PER,GDP (current US$),1974,,"Life expectancy at birth, total (years)",57.483
United States,USA,GDP (current US$),1974,1545243000000.0,"Life expectancy at birth, total (years)",71.9560975609756
Chile,CHL,GDP (current US$),1975,7621570062.17598,"Life expectancy at birth, total (years)",66.279
China,CHN,GDP (current US$),1975,163429530659.638,"Life expectancy at birth, total (years)",60.917
United Kingdom,GBR,GDP (current US$),1975,241756637168.142,"Life expectancy at birth, total (years)",72.7243902439024
Mexico,MEX,GDP (current US$),1975,88000000000.0,"Life expectancy at birth, total (years)",62.81
Peru,PER,GDP (current US$),1975,,"Life expectancy at birth, total (years)",57.905
United States,USA,GDP (current US$),1975,1684904000000.0,"Life expectancy at birth, total (years)",72.6048780487805
Chile,CHL,GDP (current US$),1976,10338624019.4415,"Life expectancy at birth, total (years)",65.855
China,CHN,GDP (current US$),1976,153939265947.775,"Life expectancy at birth, total (years)",61.796
United Kingdom,GBR,GDP (current US$),1976,232614555256.065,"Life expectancy at birth, total (years)",72.7756097560976
Mexico,MEX,GDP (current US$),1976,88875923765.072,"Life expectancy at birth, total (years)",63.123
Peru,PER,GDP (current US$),1976,,"Life expectancy at birth, total (years)",58.266
United States,USA,GDP (current US$),1976,1873412000000.0,"Life expectancy at birth, total (years)",72.8560975609756
Chile,CHL,GDP (current US$),1977,13965595122.3247,"Life expectancy at birth, total (years)",67.402
China,CHN,GDP (current US$),1977,174935933078.663,"Life expectancy at birth, total (years)",62.538
